07:29:00.456 INF Connecting to orderer. addrStr=52.90.238.226:10165 peerId=15
07:29:00.457 INF Connecting to orderer. addrStr=35.172.128.61:10000 peerId=0
07:29:00.457 INF Connecting to orderer. addrStr=34.207.71.37:10011 peerId=1
07:29:00.457 INF Connecting to orderer. addrStr=3.86.24.10:10022 peerId=2
07:29:00.457 INF Connecting to orderer. addrStr=44.206.0.73:10033 peerId=3
07:29:00.457 INF Connecting to orderer. addrStr=44.204.167.143:10044 peerId=4
07:29:00.457 INF Connecting to orderer. addrStr=44.202.26.251:10055 peerId=5
07:29:00.458 INF Connecting to orderer. addrStr=54.167.171.189:10066 peerId=6
07:29:00.458 INF Connecting to orderer. addrStr=44.201.236.168:10077 peerId=7
07:29:00.458 INF Connecting to orderer. addrStr=18.206.224.227:10088 peerId=8
07:29:00.458 INF Connecting to orderer. addrStr=44.211.41.242:10099 peerId=9
07:29:00.458 INF Connecting to orderer. addrStr=3.83.112.228:10110 peerId=10
07:29:00.458 INF Connecting to orderer. addrStr=44.202.6.114:10121 peerId=11
07:29:00.458 INF Connecting to orderer. addrStr=35.175.137.145:10132 peerId=12
07:29:00.458 INF Connecting to orderer. addrStr=100.27.31.242:10143 peerId=13
07:29:00.458 INF Connecting to orderer. addrStr=3.85.20.198:10154 peerId=14
07:29:00.904 INF Connected to orderer. addrStr=34.207.71.37:10011 id=1
07:29:00.917 INF Connected to orderer. addrStr=54.167.171.189:10066 id=6
07:29:00.919 INF Connected to orderer. addrStr=3.86.24.10:10022 id=2
07:29:00.935 INF Connected to orderer. addrStr=44.201.236.168:10077 id=7
07:29:00.935 INF Connected to orderer. addrStr=52.90.238.226:10165 id=15
07:29:00.943 INF Connected to orderer. addrStr=100.27.31.242:10143 id=13
07:29:00.947 INF Connected to orderer. addrStr=44.206.0.73:10033 id=3
07:29:00.948 INF Connected to orderer. addrStr=35.175.137.145:10132 id=12
07:29:00.952 INF Connected to orderer. addrStr=35.172.128.61:10000 id=0
07:29:00.959 INF Connected to orderer. addrStr=44.211.41.242:10099 id=9
07:29:00.960 INF Connected to orderer. addrStr=3.83.112.228:10110 id=10
07:29:00.963 INF Connected to orderer. addrStr=3.85.20.198:10154 id=14
07:29:00.979 INF Connected to orderer. addrStr=44.204.167.143:10044 id=4
07:29:00.995 INF Connected to orderer. addrStr=18.206.224.227:10088 id=8
07:29:01.003 INF Connected to orderer. addrStr=44.202.6.114:10121 id=11
07:29:01.080 INF Connected to orderer. addrStr=44.202.26.251:10055 id=5
07:29:01.081 INF Connected to orderers.
07:29:01.081 INF Updating bucket assignment. epoch=0
07:29:01.081 INF Resubmitted Requests. epoch=0 n=0
07:29:01.081 INF Setting up client timeout. clientRunTime=15000
07:29:01.081 INF Starting to submit requests. numRequests=3515
07:29:01.082 INF Submitted request. clSeqNr=0
07:29:01.090 INF Submitted request. clSeqNr=1
07:29:01.099 INF Submitted request. clSeqNr=2
07:29:01.108 INF Submitted request. clSeqNr=3
07:29:01.116 INF Submitted request. clSeqNr=4
07:29:01.125 INF Submitted request. clSeqNr=5
07:29:01.133 INF Submitted request. clSeqNr=6
07:29:01.142 INF Submitted request. clSeqNr=7
07:29:01.150 INF Submitted request. clSeqNr=8
07:29:01.159 INF Submitted request. clSeqNr=9
07:29:01.167 INF Submitted request. clSeqNr=10
07:29:01.177 INF Submitted request. clSeqNr=11
07:29:01.185 INF Submitted request. clSeqNr=12
07:29:01.193 INF Submitted request. clSeqNr=13
07:29:01.202 INF Submitted request. clSeqNr=14
07:29:01.210 INF Submitted request. clSeqNr=15
07:29:01.219 INF Submitted request. clSeqNr=16
07:29:01.227 INF Submitted request. clSeqNr=17
07:29:01.236 INF Submitted request. clSeqNr=18
07:29:01.244 INF Submitted request. clSeqNr=19
07:29:01.253 INF Submitted request. clSeqNr=20
07:29:01.261 INF Submitted request. clSeqNr=21
07:29:01.270 INF Submitted request. clSeqNr=22
07:29:01.278 INF Submitted request. clSeqNr=23
07:29:01.287 INF Submitted request. clSeqNr=24
07:29:01.296 INF Submitted request. clSeqNr=25
07:29:01.304 INF Submitted request. clSeqNr=26
07:29:01.312 INF Submitted request. clSeqNr=27
07:29:01.321 INF Submitted request. clSeqNr=28
07:29:01.330 INF Submitted request. clSeqNr=29
07:29:01.338 INF Submitted request. clSeqNr=30
07:29:01.347 INF Submitted request. clSeqNr=31
07:29:01.355 INF Submitted request. clSeqNr=32
07:29:01.364 INF Submitted request. clSeqNr=33
07:29:01.372 INF Submitted request. clSeqNr=34
07:29:01.381 INF Submitted request. clSeqNr=35
07:29:01.390 INF Submitted request. clSeqNr=36
07:29:01.398 INF Submitted request. clSeqNr=37
07:29:01.407 INF Submitted request. clSeqNr=38
07:29:01.415 INF Submitted request. clSeqNr=39
07:29:01.424 INF Submitted request. clSeqNr=40
07:29:01.433 INF Submitted request. clSeqNr=41
07:29:01.441 INF Submitted request. clSeqNr=42
07:29:01.450 INF Submitted request. clSeqNr=43
07:29:01.458 INF Submitted request. clSeqNr=44
07:29:01.466 INF Submitted request. clSeqNr=45
